dataset,oa,precision,recall,f1,kappa
salinas,0.9954183688252078,0.9963835744506868,0.9960788463023942,0.9962011390549194,0.9948987402313504
pavia_university,0.9815784833868448,0.959898806038894,0.9505397906857036,0.9530914706850332,0.9755830392197437
ksc,0.960083394003574,0.9469288291238742,0.931902126072558,0.9351258465963352,0.9555306596181954
pavia_centre,0.9669444444444444,0.9677144094288461,0.9669444444444446,0.9668867791034049,0.9628125000000001
indian_pines_tuning_results.json,,,,,
indian_pines,0.8786229039634147,0.7867726377808992,0.7417531050640512,0.7530429363208933,0.8613274769452459
